tissue,mode,sex,week,n_control,n_training,median_area_control,median_area_training,delta_log2_eic,mw_p
Brown Adipose,RP-pos,Male,1,5,5,0.0,0.0,,0.4237
Brown Adipose,RP-pos,Male,2,5,5,0.0,0.0,,0.4237
Brown Adipose,RP-pos,Male,4,5,5,0.0,0.0,,0.1797
Brown Adipose,RP-pos,Male,8,5,2,0.0,0.886,,0.2059
Brown Adipose,RP-pos,Female,1,3,5,0.0,0.0,,0.3017
Brown Adipose,RP-pos,Female,2,3,5,0.0,0.0,,0.6963
Brown Adipose,RP-pos,Female,4,3,5,0.0,0.0,,0.3017
Brown Adipose,RP-pos,Female,8,3,4,0.0,0.0,,0.3865
Gastrocnemius,RP-pos,Male,1,5,5,7.848,3.383,-1.214,0.0556
Gastrocnemius,RP-pos,Male,2,5,5,7.848,0.0,,0.0112
Gastrocnemius,RP-pos,Male,4,5,5,7.848,2.771,-1.502,0.0317
Gastrocnemius,RP-pos,Male,8,5,5,7.848,4.708,-0.737,0.0556
Gastrocnemius,RP-pos,Female,1,5,5,0.0,5.55,,0.2903
Gastrocnemius,RP-pos,Female,2,5,5,0.0,2.264,,0.9142
Gastrocnemius,RP-pos,Female,4,5,5,0.0,2.955,,0.2045
Gastrocnemius,RP-pos,Female,8,5,5,0.0,1.824,,0.8237
Heart,RP-pos,Male,1,5,5,3.203,2.188,-0.55,0.2087
Heart,RP-pos,Male,2,5,5,3.203,5.752,0.845,0.1508
Heart,RP-pos,Male,4,5,5,3.203,2.962,-0.113,0.5476
Heart,RP-pos,Male,8,5,5,3.203,3.531,0.141,0.5476
Heart,RP-pos,Female,1,5,5,3.378,3.657,0.114,0.6905
Heart,RP-pos,Female,2,5,5,3.378,6.524,0.95,0.0079
Heart,RP-pos,Female,4,5,5,3.378,1.696,-0.994,0.2903
Heart,RP-pos,Female,8,5,5,3.378,4.702,0.477,0.2222
Hippocampus,RP-neg,Male,1,5,5,47.348,49.276,0.058,0.5476
Hippocampus,RP-neg,Male,2,5,5,47.348,44.686,-0.083,0.6905
Hippocampus,RP-neg,Male,4,5,5,47.348,49.242,0.057,0.4206
Hippocampus,RP-neg,Male,8,5,5,47.348,45.526,-0.057,0.8413
Hippocampus,RP-neg,Female,1,5,5,45.525,36.794,-0.307,1.0
Hippocampus,RP-neg,Female,2,5,5,45.525,41.09,-0.148,1.0
Hippocampus,RP-neg,Female,4,5,4,45.525,30.446,-0.58,0.0635
Hippocampus,RP-neg,Female,8,5,5,45.525,30.556,-0.575,0.0556
Kidney,RP-pos,Male,1,5,5,74.49,34.325,-1.118,0.0317
Kidney,RP-pos,Male,2,5,5,74.49,46.88,-0.668,0.1508
Kidney,RP-pos,Male,4,5,5,74.49,52.903,-0.494,0.2222
Kidney,RP-pos,Male,8,5,5,74.49,68.732,-0.116,0.8413
Kidney,RP-pos,Female,1,5,5,42.006,2.853,-3.88,0.0119
Kidney,RP-pos,Female,2,5,5,42.006,5.108,-3.04,0.0119
Kidney,RP-pos,Female,4,5,5,42.006,26.435,-0.668,0.1508
Kidney,RP-pos,Female,8,5,5,42.006,41.138,-0.03,1.0
Liver,RP-neg,Male,1,5,5,28.944,15.045,-0.944,0.0556
Liver,RP-neg,Male,2,5,5,28.944,7.587,-1.932,0.0159
Liver,RP-neg,Male,4,5,5,28.944,5.896,-2.295,0.0159
Liver,RP-neg,Male,8,5,5,28.944,26.269,-0.14,0.6905
Liver,RP-neg,Female,1,5,5,12.194,16.833,0.465,0.6905
Liver,RP-neg,Female,2,5,5,12.194,14.044,0.204,0.6905
Liver,RP-neg,Female,4,5,5,12.194,15.375,0.334,0.5476
Liver,RP-neg,Female,8,5,5,12.194,24.82,1.025,0.1508
Lung,RP-pos,Male,1,5,5,7.897,2.863,-1.464,0.5476
Lung,RP-pos,Male,2,5,5,7.897,1.912,-2.046,0.0361
Lung,RP-pos,Male,4,5,5,7.897,5.466,-0.531,0.6905
Lung,RP-pos,Male,8,5,5,7.897,3.777,-1.064,0.6905
Lung,RP-pos,Female,1,5,5,3.003,5.532,0.882,0.5476
Lung,RP-pos,Female,2,5,5,3.003,3.882,0.371,1.0
Lung,RP-pos,Female,4,5,5,3.003,6.831,1.186,0.4206
Lung,RP-pos,Female,8,5,5,3.003,4.704,0.648,0.2222
Plasma,RP-neg,Male,1,5,5,139.493,171.506,0.298,0.4206
Plasma,RP-neg,Male,2,5,5,139.493,123.905,-0.171,0.5476
Plasma,RP-neg,Male,4,5,5,139.493,141.301,0.019,1.0
Plasma,RP-neg,Male,8,5,5,139.493,160.993,0.207,0.4206
Plasma,RP-neg,Female,1,5,5,104.781,149.778,0.515,0.0159
Plasma,RP-neg,Female,2,5,5,104.781,175.982,0.748,0.0079
Plasma,RP-neg,Female,4,5,5,104.781,123.839,0.241,0.0556
Plasma,RP-neg,Female,8,5,5,104.781,134.282,0.358,0.5476
White Adipose,RP-neg,Male,1,5,5,1.784,3.679,1.044,0.0937
White Adipose,RP-neg,Male,2,5,5,1.784,4.597,1.366,0.0361
White Adipose,RP-neg,Male,4,5,5,1.784,2.658,0.575,0.1425
White Adipose,RP-neg,Male,8,5,5,1.784,3.766,1.078,0.2045
White Adipose,RP-neg,Female,1,5,5,2.44,6.995,1.519,0.3457
White Adipose,RP-neg,Female,2,5,5,2.44,4.341,0.831,0.4633
White Adipose,RP-neg,Female,4,5,5,2.44,7.929,1.7,0.0079
White Adipose,RP-neg,Female,8,5,5,2.44,1.88,-0.377,1.0
